Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,12219,2021-11-15,0.0481497983,0.0667554557,0.0635432269,21,100
Market-Adjusted Model,12226,2021-11-15,0.2163702043,0.2262341983,0.2317636328,21,100
Market-Adjusted Model,12266,2021-11-15,-0.003911371,0.0167719444,0.0114820578,21,100
Market-Adjusted Model,12287,2021-11-15,0.0094726622,0.0259054778,0.0248660908,21,100
Market-Adjusted Model,12289,2021-11-15,-0.000409221,0.014561419,0.0149842073,21,100
Market-Adjusted Model,12292,2021-11-15,-0.046236359,-0.030742304,-0.030842931,21,100
Market-Adjusted Model,12293,2021-11-15,-0.226804149,-0.231774649,-0.21141072,21,100
Market-Adjusted Model,12294,2021-11-15,0.0140916853,0.0297901425,0.0294851138,21,100
Market-Adjusted Model,12295,2021-11-15,-0.032789166,-0.017718759,-0.017395737,21,100
Market-Adjusted Model,12296,2021-11-15,-0.025543609,-0.008562527,-0.010150181,21,100
Market-Adjusted Model,12297,2021-11-15,-0.021059622,-0.005050606,-0.005666193,21,100
Market-Adjusted Model,12301,2021-11-15,-0.022524267,-0.006076731,-0.007130838,21,100
Market-Adjusted Model,12302,2021-11-15,-0.024799801,-0.008527967,-0.009406373,21,100
Market-Adjusted Model,12303,2021-11-15,-0.035588357,-0.020405879,-0.020194928,21,100
Market-Adjusted Model,12304,2021-11-15,-0.029943343,-0.014310903,-0.014549915,21,100
Market-Adjusted Model,12305,2021-11-15,-0.007343202,0.0080649137,0.0080502267,21,100
Market-Adjusted Model,12307,2021-11-15,-0.537111994,-0.639597952,-0.521718565,21,100
Market-Adjusted Model,12308,2021-11-15,-0.042392072,-0.027156612,-0.026998643,21,100
Market-Adjusted Model,12310,2021-11-15,0.0819672002,0.1166726246,0.0973606287,21,100
Market-Adjusted Model,12313,2021-11-15,-0.01285347,0.0025208819,0.0025399584,21,100
Market-Adjusted Model,12314,2021-11-15,0.0065274164,0.0222720726,0.021920845,21,100
Market-Adjusted Model,12315,2021-11-15,-0.035867558,-0.02099491,-0.020474129,21,100
Market-Adjusted Model,12316,2021-11-15,-0.012999906,0.0023732107,0.0023935222,21,100
Market-Adjusted Model,12317,2021-11-15,-0.048548438,-0.032998055,-0.03315501,21,100
Market-Adjusted Model,12318,2021-11-15,-0.041544654,-0.02586638,-0.026151225,21,100
Market-Adjusted Model,12321,2021-11-15,-0.034019248,-0.017811861,-0.018625819,21,100
Market-Adjusted Model,12325,2021-11-15,-0.262887267,-0.276245435,-0.247493839,21,100
Market-Adjusted Model,12326,2021-11-15,-0.036487437,-0.021163685,-0.021094009,21,100
Market-Adjusted Model,12329,2021-11-15,-0.080591746,-0.067891622,-0.065198317,21,100
Market-Adjusted Model,12331,2021-11-15,-0.0035557,0.0115238007,0.0118377286,21,100
Market-Adjusted Model,12332,2021-11-15,-0.031609232,-0.009172971,-0.016215803,21,100
Market-Adjusted Model,12333,2021-11-15,0.0397732488,0.0592677351,0.0551666773,21,100
Market-Adjusted Model,12334,2021-11-15,-0.007619494,0.0080208208,0.007773935,21,100
Market-Adjusted Model,12338,2021-11-15,-0.047846846,-0.032490874,-0.032453417,21,100
Market-Adjusted Model,12339,2021-11-15,0.2665035841,0.2877719784,0.2818970126,21,100
Market-Adjusted Model,12341,2021-11-15,-0.038567259,-0.023877966,-0.02317383,21,100
Market-Adjusted Model,12345,2021-11-15,-0.049441799,-0.033091967,-0.03404837,21,100
Market-Adjusted Model,12350,2021-11-15,-0.147470395,-0.015548797,-0.132076966,21,100
Market-Adjusted Model,12355,2021-11-15,-0.024311347,-0.007273508,-0.008917919,21,100
Market-Adjusted Model,12358,2021-11-15,0.0080481181,0.1986021078,0.0234415466,21,100
